id,total distance,ratio minimum,ratio maximum,ratio average,ratio variance,truck usage
0,79.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
1,80.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
2,79.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
3,83.0,0.5625,0.75,0.6875,0.00585938,{'medium truck': 4}
4,83.0,0.8125,1.0,0.91666667,0.00607639,{'medium truck': 3}
5,79.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
6,83.0,0.5625,0.75,0.6875,0.00585938,{'medium truck': 4}
7,83.0,0.5625,0.75,0.6875,0.00585938,{'medium truck': 4}
8,79.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
9,80.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
